_id,title,year,vote_count,vote_average
664b369af5b7b67b6665c106,Godzilla x Kong: The New Empire,2024,1830,7.222
664b369af5b7b67b6665c107,Kingdom of the Planet of the Apes,2024,454,7.18
664b369af5b7b67b6665c108,Godzilla Minus One,2023,1091,7.67
664b369af5b7b67b6665c109,Dune: Part Two,2024,3965,8.186
664b369af5b7b67b6665c10a,Kung Fu Panda 4,2024,1693,7.131
664b369af5b7b67b6665c10b,Ghostbusters: Frozen Empire,2024,774,6.7
664b369af5b7b67b6665c10c,Ape vs. Mecha Ape,2023,188,5.646
664b369af5b7b67b6665c10d,Abigail,2024,444,6.883
664b369af5b7b67b6665c10e,No Way Up,2024,659,6.428
664b369af5b7b67b6665c10f,The Idea of You,2024,771,7.469
664b369af5b7b67b6665c110,Dawn of the Planet of the Apes,2014,10904,7.317
664b369af5b7b67b6665c111,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2023,150,7.673
664b369af5b7b67b6665c112,Exhuma,2024,108,7.435
664b369af5b7b67b6665c113,Rebel Moon - Part Two: The Scargiver,2024,782,6.097
664b369af5b7b67b6665c114,Migration,2023,1337,7.467
664b369af5b7b67b6665c115,Challengers,2024,597,7.3
664b369af5b7b67b6665c116,Immaculate,2024,466,6.185
664b369af5b7b67b6665c117,Madame Web,2024,1308,5.618
664b369af5b7b67b6665c118,Oppenheimer,2023,8050,8.104
664b369af5b7b67b6665c119,Road House,2024,1752,7.017
664b369af5b7b67b6665c11a,Fast X,2023,5171,7.123
664b369af5b7b67b6665c11b,Civil War,2024,689,7.4
664b369af5b7b67b6665c11c,Dune,2021,11643,7.778
664b369af5b7b67b6665c11d,xXx,2002,4060,5.932
664b369af5b7b67b6665c11e,War for the Planet of the Apes,2017,8555,7.188
664b369af5b7b67b6665c11f,Barbie,2023,8256,7.06
664b369af5b7b67b6665c120,Alienoid,2022,333,6.881
664b369af5b7b67b6665c121,Rise of the Planet of the Apes,2011,11388,7.313
664b369af5b7b67b6665c122,The Three Musketeers: Milady,2023,411,6.502
664b369af5b7b67b6665c123,Deadpool,2016,29890,7.612
664b369af5b7b67b6665c124,The Matrix,1999,24891,8.215
664b369af5b7b67b6665c125,The Batman,2022,9586,7.678
664b369af5b7b67b6665c126,The Flash,2023,3885,6.739
664b369af5b7b67b6665c127,Star Wars,1977,20009,8.203
664b369af5b7b67b6665c128,Turning Red,2022,4950,7.388
664b369af5b7b67b6665c129,Interstellar,2014,34360,8.434
664b369af5b7b67b6665c12a,Joker,2019,24591,8.161
664b369af5b7b67b6665c12b,The Terminator,1984,12547,7.665
664b369af5b7b67b6665c12c,Ghostbusters,2016,6222,5.357
664b369af5b7b67b6665c12d,Tenet,2020,9400,7.183
664b369af5b7b67b6665c12e,Iron Man 2,2010,20453,6.8
664b369af5b7b67b6665c12f,Mother of the Bride,2024,109,5.904
664b369af5b7b67b6665c130,Thor: Ragnarok,2017,20212,7.6
664b369af5b7b67b6665c131,Logan,2017,18704,7.8
664b369af5b7b67b6665c132,Alien,1979,13950,8.153
664b369af5b7b67b6665c133,The Marvels,2023,2307,6.146
664b369af5b7b67b6665c134,X,2022,2776,6.731
664b369af5b7b67b6665c135,Inception,2010,35731,8.4
664b369af5b7b67b6665c136,2001: A Space Odyssey,1968,11097,8.078
664b369af5b7b67b6665c137,Captain Marvel,2019,15271,6.824
664b369af5b7b67b6665c138,Arrival,2016,17266,7.602
664b369af5b7b67b6665c139,Black Panther,2018,21671,7.385
664b369af5b7b67b6665c13a,Pulp Fiction,1994,27090,8.489
664b369af5b7b67b6665c13b,Wonka,2023,2979,7.176
664b369af5b7b67b6665c13c,Wonder Woman,2017,19509,7.2
664b369af5b7b67b6665c13d,Bird Box,2018,9598,6.843
664b369af5b7b67b6665c13e,The Wages of Fear,2024,232,5.767
664b369af5b7b67b6665c13f,Dark Phoenix,2019,6256,6
664b369af5b7b67b6665c140,Predator,1987,7724,7.528
664b369af5b7b67b6665c141,Spectre,2015,10242,6.543
664b369af5b7b67b6665c142,Rocky,1976,7538,7.786
664b369af5b7b67b6665c143,Babylon,2022,2794,7.413
664b369af5b7b67b6665c144,Split,2017,16906,7.344
664b369af5b7b67b6665c145,Donnie Darko,2001,12025,7.779
664b369af5b7b67b6665c146,Green Book,2018,11186,8.243
664b369af5b7b67b6665c147,Alien: Covenant,2017,8186,6.106
664b369af5b7b67b6665c148,Morbius,2022,4096,6.042
664b369af5b7b67b6665c149,Gifted,2017,5220,8.036
664b369af5b7b67b6665c14a,Serenity,2005,3358,7.38
664b369af5b7b67b6665c14b,The Beekeeper,2024,2370,7.413
664b369af5b7b67b6665c14c,Con Air,1997,3995,6.7
664b369af5b7b67b6665c14d,Baywatch,2017,7808,6.092
664b369af5b7b67b6665c14e,Superman,1978,3658,7.137
664b369af5b7b67b6665c14f,Misery,1990,4443,7.756
664b369af5b7b67b6665c150,Doctor Strange,2016,21590,7.423
